domain,simulation,sensitivity,file,RCP
AFR-22,GERICS,high,CORDEX-AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1,historical
AFR-22,ICTP,high,CORDEX-AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_ICTP-RegCM4-7_v0,historical
AFR-22,GERICS,medium,CORDEX-AFR-22_MPI-M-MPI-ESM-LR_historical_r1i1p1_GERICS-REMO2015_v1,historical
AFR-22,ICTP,medium,CORDEX-AFR-22_MPI-M-MPI-ESM-MR_historical_r1i1p1_ICTP-RegCM4-7_v0,historical
AFR-22,GERICS,low,CORDEX-AFR-22_NCC-NorESM1-M_historical_r1i1p1_GERICS-REMO2015_v1,historical
AFR-22,ICTP,low,CORDEX-AFR-22_NCC-NorESM1-M_historical_r1i1p1_ICTP-RegCM4-7_v0,historical
AFR-22,GERICS,high,CORDEX-AFR-22_MOHC-HadGEM2-ES_rcp26_r1i1p1_GERICS-REMO2015_v1,RCP2.6
AFR-22,ICTP,high,CORDEX-AFR-22_MOHC-HadGEM2-ES_rcp26_r1i1p1_ICTP-RegCM4-7_v0,RCP2.6
AFR-22,GERICS,medium,CORDEX-AFR-22_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_GERICS-REMO2015_v1,RCP2.6
AFR-22,ICTP,medium,CORDEX-AFR-22_MPI-M-MPI-ESM-MR_rcp26_r1i1p1_ICTP-RegCM4-7_v0,RCP2.6
AFR-22,GERICS,low,CORDEX-AFR-22_NCC-NorESM1-M_rcp26_r1i1p1_GERICS-REMO2015_v1,RCP2.6
AFR-22,ICTP,low,CORDEX-AFR-22_NCC-NorESM1-M_rcp26_r1i1p1_ICTP-RegCM4-7_v0,RCP2.6
AFR-22,GERICS,high,CORDEX-AFR-22_MOHC-HadGEM2-ES_rcp85_r1i1p1_GERICS-REMO2015_v1,RCP8.5
AFR-22,ICTP,high,CORDEX-AFR-22_MOHC-HadGEM2-ES_rcp85_r1i1p1_ICTP-RegCM4-7_v0,RCP8.5
AFR-22,GERICS,medium,CORDEX-AFR-22_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_GERICS-REMO2015_v1,RCP8.5
AFR-22,ICTP,medium,CORDEX-AFR-22_MPI-M-MPI-ESM-MR_rcp85_r1i1p1_ICTP-RegCM4-7_v0,RCP8.5
AFR-22,GERICS,low,CORDEX-AFR-22_NCC-NorESM1-M_rcp85_r1i1p1_GERICS-REMO2015_v1,RCP8.5
AFR-22,ICTP,low,CORDEX-AFR-22_NCC-NorESM1-M_rcp85_r1i1p1_ICTP-RegCM4-7_v0,RCP8.5
